expected,edgar,jj,miguel
-0.12758222222211213,-0.028940137,-0.07065498,-0.09084571
-0.14764555555542724,-0.03434289,-0.07029431,-0.09197328
-0.13838555555543586,-0.03769328,-0.05914291,-0.08747179
-0.1260388888887798,-0.03910577,-0.07082275,-0.093155794
-0.14867444444431574,-0.039707635,-0.070799276,-0.09443838
-0.12192333333322836,-0.040013433,-0.07030693,-0.09527578
-0.11729333333323222,-0.04012064,-0.06987762,-0.09601519
-0.14095777777765586,-0.040169418,-0.06948731,-0.096607655
-0.11780777777767605,-0.040195726,-0.06522609,-0.0951251
-0.10494666666657526,-0.040205456,-0.063829534,-0.09333553
-0.12398111111100453,-0.040209755,-0.070728384,-0.09835347
-0.11883666666656455,-0.040212274,-0.06843539,-0.09627534
-0.1167788888887884,-0.0402134,-0.0693267,-0.09686222
-0.13272666666655208,-0.04021392,-0.07081726,-0.099842966
-0.13375555555543972,-0.0402142,-0.07082293,-0.10039931
-0.13735666666654822,-0.040214323,-0.07080576,-0.10063516
-0.14558777777765194,-0.040214375,-0.070793234,-0.1003763
-0.14713111111098431,-0.040214397,-0.07076318,-0.099145286
-0.17491111111095936,-0.040214404,-0.06899041,-0.08007336
-0.17388222222207214,-0.040214412,-0.06640062,-0.06597378
-0.17182444444429598,-0.040214416,-0.07079532,-0.091767594
-0.16565111111096842,-0.040214416,-0.063141674,-0.048692457
-0.19137333333316767,-0.040214416,-0.07085234,-0.086375244
-0.17285333333318365,-0.040214416,-0.06987925,-0.06577701
-0.1548477777776447,-0.040214416,-0.062933,-0.038335577
-0.17696888888873574,-0.040214416,-0.063643284,-0.038776234
-0.1702811111109639,-0.040214557,-0.06448804,-0.04037781
-0.1527899999998681,-0.04052909,-0.05915118,-0.030322323
-0.12500999999989215,-0.025078407,-0.06240527,-0.03403397
-0.1142066666665682,-0.024378262,-0.05120357,-0.028152063
-0.197546666666496,-0.024372604,-0.05405864,-0.02836205
-0.183142222222064,-0.024372837,-0.061293118,-0.030379215
-0.14970333333320396,-0.024371859,-0.049227625,-0.02907007
-0.14867444444431588,-0.024369625,-0.036755502,-0.0060936594
-0.14713111111098398,-0.024366036,-0.026459754,-0.008966336
-0.119351111111008,-0.024334934,-0.016137395,-0.010981115
-0.10237444444435606,0.023059875,-0.016286565,-0.011612566
-0.09465777777769599,0.026774757,-0.004139481,-0.0117549915
-0.09208555555547596,0.026797753,-0.0025497489,-0.010775588
-0.10237444444435063,0.026781257,-0.00858536,-0.011585442
0.0,0.026789192,-0.013122028,-0.011313168
0.0,0.026778817,-0.013846884,-0.012341918
0.0,0.026784923,-0.014251327,-0.01169919
0.0,0.026844576,-0.014251672,-0.010450982
0.0,0.026818551,-0.014621956,-0.010771684
0.0,0.026806701,-0.014985478,-0.011035105
0.0,0.026878804,-0.014963895,-0.010531925
0.0,0.026902657,-0.015088217,-0.010528138
0.0,0.026806053,-0.015637921,-0.011230448
0.0,0.026838556,-0.01568485,-0.010962879
0.0,0.026781913,-0.01661119,-0.012261493
0.0,0.027008869,-0.015785564,-0.0107917
0.0,0.026777323,-0.017387155,-0.012831824
0.0,0.026912846,-0.016286787,-0.011142602
0.0,0.026997793,-0.016262041,-0.011110308
0.0,0.02677241,-0.018962154,-0.014017949
0.0,0.027150862,-0.016444422,-0.011298681
0.0,0.026837394,-0.017007682,-0.01174215
0.0,0.02679678,-0.017579261,-0.01224128
0.0,0.026884008,-0.017075026,-0.01182604
0.0,0.027192693,-0.016797153,-0.011696523
0.0,0.026904527,-0.017141603,-0.011926109
0.0,0.027112715,-0.016956283,-0.011863766
0.0,0.027122218,-0.016990272,-0.011918852
0.0,0.027058203,-0.017078592,-0.012001699
0.0,0.07927858,0.033469517,0.036904395
0.0,0.07926407,0.03662567,0.031414904
0.0,0.079286605,0.039557397,0.061343282
0.0,0.07928274,0.04346498,0.045642465
0.08642666666658662,0.07927779,0.04585524,0.041187756
0.08385444444437201,0.07806607,0.04787766,0.06314583
0.08694111111103597,0.0677389,0.049619723,0.061062537
0.09774444444435998,0.06617562,0.050531946,0.064046405
0.11163444444434803,0.06617565,0.051219616,0.064508155
0.11266333333323594,0.06617566,0.052147783,0.06482193
0.12706777777766798,0.06617566,0.054786667,0.06517003
0.12809666666655595,0.06617564,0.06516847,0.06549709
0.13889999999988,0.06617566,0.06462049,0.065664224
0.14455888888876411,0.06617557,0.06554772,0.06623307
0.07202222222216004,0.06619329,0.06555305,0.06630073
0.07356555555549192,0.066712186,0.06555534,0.06755764
0.08694111111103607,0.070069104,0.065556,0.06938221
0.09877333333324788,0.046489824,0.06555687,0.069578536
0.08951333333325627,0.046443876,0.06555541,0.08295553
0.10854777777768396,0.046442557,0.06555715,0.07954637
0.10134555555546833,0.04644255,0.0655561,0.099988826
0.10546111111101997,0.046442263,0.06550468,0.104193196
0.12089444444434005,0.046442557,0.06555652,0.10416449
0.10751888888879636,0.046442535,0.06553661,0.10450662
0.12809666666655595,0.04644235,0.06527948,0.104564466
0.13169777777766356,0.046441007,0.059174098,0.10457916
0.13221222222210827,0.046439346,-0.0038080793,0.10458116
0.1183222222221194,0.04643865,-0.016750116,0.104579546
0.11214888888879226,0.046311945,-0.028502628,0.1045495
0.10391777777768807,0.046364047,-0.028647285,0.10455531
0.1034033333332438,0.04635003,-0.028769772,0.10454775
0.09774444444436003,0.046440486,-0.028103152,0.104569174
0.09054222222214392,0.04055669,-0.028839475,0.102542676
0.10391777777768807,0.046405554,-0.028825877,0.104549944
0.0781955555554874,0.046326265,-0.028837617,0.10450336
0.07356555555549127,0.04644257,0.0655089,0.10454623
0.07459444444437979,-0.031588014,-0.02884041,0.046563573
0.07202222222216026,0.0019083144,-0.028839994,0.08531732
0.08128222222215209,0.041865062,-0.028839864,0.103032224
0.07665222222215595,0.046441987,-0.028819218,0.10451424
0.07716666666660021,0.04553641,-0.028839836,0.10418793
0.08951333333325584,0.006486523,-0.028839964,0.08388938
0.06944999999993984,0.046387166,-0.028839791,0.1043221
0.06018999999994845,0.0464144,-0.02883978,0.10426553
0.05453111111106379,-0.036964875,-0.028840723,0.036593698
0.07253666666660408,0.046182726,-0.028839858,0.10398474
0.06173333333327946,0.04644342,-0.028839095,0.103970386
0.05092999999995573,0.046429656,-0.028839827,0.10387189
0.040641111111075816,0.007933143,-0.028839929,0.08459515
0.04887222222218046,-0.0096229175,-0.028839972,0.06837633
0.04115555555551964,0.026512984,-0.028839897,0.09455664
0.03858333333329966,0.04464105,-0.028839866,0.10269246
0.0365255555555235,0.046415754,-0.028839855,0.10325244
0.04938666666662428,0.046449166,-0.028839815,0.10317889
0.04887222222218046,0.039183438,-0.028839873,0.1013271
0.046299999999960484,0.046459705,-0.025733994,0.10283438
0.036011111111079686,-0.0369877,-0.028840218,0.041125886
0.03292444444441678,-0.011528675,-0.028839923,0.08505533
0.046299999999960484,0.046473697,-0.028839841,0.102303
0.027265555555531232,0.046490163,-0.028837122,0.10205766
0.03806888888885673,-0.040161427,-0.029203815,-0.0057057682
0.02572222222219977,0.046509854,-0.028839845,0.10168175
0.04115555555552053,0.045303103,-0.02883986,0.101363294
0.015947777777763683,0.04596848,-0.02883986,0.10113637
0.03189555555552825,0.04620551,-0.02883986,0.1009337
0.005658888888883773,0.046539243,-0.028839856,0.10064946
0.03292444444441589,0.046563525,-0.028839853,0.10029564
0.02417888888886832,0.04610012,-0.02883986,0.09983442
0.019034444444427482,0.044294547,-0.02883986,0.09940221
0.018005555555539843,0.04647012,-0.028839856,0.09904648
0.014404444444432231,0.046726327,-0.028839163,0.09854178
0.012861111111099888,-0.033386078,-0.028839914,0.09290836
0.0036011111111076133,0.046773884,-0.028839786,0.09736068
-0.0797388888888193,-0.040214416,-0.07081342,-0.060861096
-0.0797388888888193,-0.040214416,-0.070814535,-0.06538831
-0.06533444444438796,-0.040214416,-0.07076297,-0.069345996
-0.057617777777727135,-0.040214416,-0.07003901,-0.07289915
-0.07613777777771169,-0.040214416,-0.07082568,-0.07571625
-0.06224777777772327,-0.040214416,-0.070825905,-0.078680895
-0.06790666666660705,-0.040214416,-0.059032954,-0.08222627
-0.0771666666666011,-0.040214416,-0.070825905,-0.0828482
-0.07202222222215937,-0.040214416,-0.070825905,-0.08558672
-0.07819555555548874,-0.040214416,-0.070825905,-0.089731164
-0.057103333333283324,-0.040214416,-0.070825905,-0.09164442
-0.07768111111104402,-0.040214416,-0.070825905,-0.09443406
-0.07819555555548785,-0.040214416,-0.070825905,-0.09677287
-0.08899888888881069,-0.040214416,-0.070825905,-0.09893881
-0.10751888888879613,-0.040214416,-0.070825905,-0.100848235
-0.11780777777767515,-0.040214416,-0.070825905,-0.10308235
-0.1296399999998883,-0.040214416,-0.070825905,-0.10457023
-0.1167788888887884,-0.040214416,-0.070825905,-0.106079996
-0.14507333333320815,-0.040214416,-0.070825905,-0.10767489
-0.13426999999988354,-0.040214416,-0.070825905,-0.108776964
-0.16873777777763266,-0.040214416,-0.070825905,-0.10964172
-0.1435299999998758,-0.040214416,-0.070825905,-0.11133311
-0.15484777777764425,-0.040214416,-0.070825905,-0.11243803
-0.1563911111109757,-0.040214416,-0.070825905,-0.11337068
-0.1635933333331918,-0.040214416,-0.070825905,-0.114224695
-0.15073222222209282,-0.040214416,-0.070825905,-0.11503811
-0.16873777777763174,-0.040214416,-0.0708259,-0.115592785
-0.1800555555554002,-0.040214416,-0.070825905,-0.1158763
-0.15793444444430804,-0.040214416,-0.070825905,-0.11657394
-0.18880111111094772,-0.040214416,-0.070825905,-0.11718538
-0.1527899999998681,-0.04021442,-0.070825905,-0.11755521
-0.19445999999983246,-0.040214475,-0.070825905,-0.11818383
-0.1949744444442767,-0.04021461,-0.07082588,-0.11833616
-0.19857555555538384,-0.04021471,-0.070825905,-0.11827946
-0.18005555555539976,-0.04021567,-0.07082563,-0.11825665
-0.18982999999983585,-0.040216286,-0.07082582,-0.117892936
-0.1687377777776322,-0.0402163,-0.070825905,-0.11720092
-0.16256444444430376,-0.040228046,-0.070508055,-0.11670384
-0.15536222222208804,-0.040351138,-0.070811726,-0.11464753
-0.13375555555543994,-0.03540601,-0.06957355,-0.112126
-0.16462222222208012,-0.024419859,-0.046488088,-0.10876354
-0.11369222222212373,-0.024397649,-0.038007576,-0.10116313
-0.12089444444434005,-0.024381153,-0.032950297,-0.09429366
-0.09825888888880407,-0.024317425,-0.032779418,-0.08405972
-0.15896333333319598,-0.024280395,-0.03275412,-0.07627125
-0.14918888888875992,-0.024417132,-0.032783255,-0.06784139
-0.131697777777664,-0.024482457,-0.03280513,-0.0647571
-0.12089444444434005,-0.024213068,-0.032711226,-0.06458864
-0.12809666666655606,-0.023144405,-0.032551475,-0.066229455
-0.11060555555545998,-0.024430573,-0.03273586,-0.057333477
-0.08796999999992405,-0.024037525,-0.032643564,-0.039024793
-0.08848444444436797,-0.024206731,-0.032712862,-0.04005634
-0.07407999999993597,0.006094291,-0.032529347,-0.041513376
-0.07922444444436255,0.02553581,-0.032642365,-0.041656047
0.0,0.026497904,-0.032405563,-0.041722625
0.0,0.026851196,-0.032341022,-0.04184179
