test,training,validation
0.33399999141693115,0.34299999475479126,0.34033334255218506
0.4806666672229767,0.512333333492279,0.515666663646698
0.5386666655540466,0.5566666722297668,0.5239999890327454
0.5633333325386047,0.5550000071525574,0.5479999780654907
0.5616666674613953,0.5716666579246521,0.5529999732971191
0.5433333516120911,0.5770000219345093,0.5746666789054871
0.5680000185966492,0.5636666417121887,0.5619999766349792
0.5546666383743286,0.5659999847412109,0.562333345413208
0.5756666660308838,0.5743333101272583,0.5559999942779541
0.5453333258628845,0.5860000252723694,0.5603333115577698
0.5556666851043701,0.5860000252723694,0.5619999766349792
0.5640000104904175,0.5889999866485596,0.5613333582878113
0.5483333468437195,0.5640000104904175,0.5516666769981384
0.5580000281333923,0.5676666498184204,0.5676666498184204
0.5609999895095825,0.5723333358764648,0.5476666688919067
0.5566666722297668,0.5713333487510681,0.5573333501815796
0.5763333439826965,0.5736666917800903,0.5580000281333923
0.5600000023841858,0.5923333168029785,0.5873333215713501
0.5663333535194397,0.5743333101272583,0.5746666789054871
0.5616666674613953,0.5796666741371155,0.5580000281333923
0.562333345413208,0.5799999833106995,0.5646666884422302
0.5506666898727417,0.5613333582878113,0.5699999928474426
0.5569999814033508,0.574999988079071,0.5799999833106995
0.5693333148956299,0.5853333473205566,0.5830000042915344
0.5676666498184204,0.5630000233650208,0.5773333311080933
0.5683333277702332,0.5823333263397217,0.5559999942779541
0.5663333535194397,0.5666666626930237,0.57833331823349
0.5720000267028809,0.5963333249092102,0.5823333263397217
0.5743333101272583,0.581333339214325,0.5649999976158142
0.5803333520889282,0.5763333439826965,0.5730000138282776
0.5566666722297668,0.5833333134651184,0.5666666626930237
0.5603333115577698,0.5823333263397217,0.5770000219345093
0.5649999976158142,0.5649999976158142,0.5609999895095825
0.5649999976158142,0.5680000185966492,0.5703333616256714
0.5716666579246521,0.5826666951179504,0.5703333616256714
0.5766666531562805,0.5883333086967468,0.5686666369438171
0.5633333325386047,0.5866666436195374,0.5649999976158142
0.5820000171661377,0.5863333344459534,0.5793333053588867
0.5776666402816772,0.5910000205039978,0.5693333148956299
0.5640000104904175,0.5789999961853027,0.5836666822433472
0.5723333358764648,0.5759999752044678,0.5563333630561829
0.5863333344459534,0.5879999995231628,0.5763333439826965
0.5709999799728394,0.5830000042915344,0.5659999847412109
0.5709999799728394,0.5903333425521851,0.5789999961853027
0.5606666803359985,0.5993333458900452,0.5569999814033508
0.5896666646003723,0.57833331823349,0.5713333487510681
0.6006666421890259,0.5923333168029785,0.5866666436195374
0.5816666483879089,0.5713333487510681,0.5659999847412109
0.5836666822433472,0.590666651725769,0.5759999752044678
0.5649999976158142,0.5756666660308838,0.5773333311080933
0.578000009059906,0.5830000042915344,0.5666666626930237
0.57833331823349,0.5846666693687439,0.5839999914169312
0.5786666870117188,0.6000000238418579,0.5803333520889282
0.5659999847412109,0.5826666951179504,0.5699999928474426
0.5600000023841858,0.5896666646003723,0.5803333520889282
0.5596666932106018,0.5923333168029785,0.5666666626930237
0.5826666951179504,0.593666672706604,0.5633333325386047
0.5736666917800903,0.5873333215713501,0.5663333535194397
0.562666654586792,0.5866666436195374,0.5740000009536743
0.5696666836738586,0.5753333568572998,0.5609999895095825
0.5860000252723694,0.5973333120346069,0.5746666789054871
0.5763333439826965,0.5876666903495789,0.5690000057220459
0.5763333439826965,0.5979999899864197,0.5820000171661377
0.5873333215713501,0.57833331823349,0.5766666531562805
0.5856666564941406,0.5883333086967468,0.57833331823349
0.5613333582878113,0.5843333601951599,0.5649999976158142
0.5743333101272583,0.590666651725769,0.5723333358764648
0.5770000219345093,0.5866666436195374,0.5820000171661377
0.5839999914169312,0.5806666612625122,0.5733333230018616
0.6066666841506958,0.5863333344459534,0.5740000009536743
0.5773333311080933,0.6023333072662354,0.5910000205039978
0.5720000267028809,0.5889999866485596,0.5680000185966492
0.5653333067893982,0.5920000076293945,0.5553333163261414
0.5713333487510681,0.5946666598320007,0.5770000219345093
0.5799999833106995,0.5789999961853027,0.5603333115577698
0.5693333148956299,0.5809999704360962,0.57833331823349
0.5716666579246521,0.5830000042915344,0.5686666369438171
0.5793333053588867,0.5823333263397217,0.5756666660308838
0.5809999704360962,0.5863333344459534,0.5786666870117188
0.5759999752044678,0.5853333473205566,0.5776666402816772
0.5830000042915344,0.6043333411216736,0.5820000171661377
0.5839999914169312,0.565666675567627,0.578000009059906
0.5823333263397217,0.5709999799728394,0.5733333230018616
0.559333324432373,0.5759999752044678,0.5676666498184204
0.5763333439826965,0.5889999866485596,0.5736666917800903
0.5820000171661377,0.5986666679382324,0.5706666707992554
0.5910000205039978,0.5706666707992554,0.5863333344459534
0.578000009059906,0.5996666550636292,0.5839999914169312
0.5673333406448364,0.593999981880188,0.5860000252723694
0.5680000185966492,0.6000000238418579,0.5816666483879089
0.5820000171661377,0.5809999704360962,0.5753333568572998
0.5839999914169312,0.5956666469573975,0.5833333134651184
0.5773333311080933,0.5899999737739563,0.5889999866485596
0.574999988079071,0.593666672706604,0.5789999961853027
0.5743333101272583,0.5946666598320007,0.5806666612625122
0.5716666579246521,0.581333339214325,0.57833331823349
0.5663333535194397,0.5826666951179504,0.5773333311080933
0.5809999704360962,0.5816666483879089,0.5699999928474426
0.581333339214325,0.5899999737739563,0.5786666870117188
0.5733333230018616,0.5886666774749756,0.5759999752044678
