Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721579,81.74736,-12.153852,-41.40046,39.135784,-25.47044,-1.9940534,3.1798077,2.572996
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721535,81.74713,-12.153789,-41.400803,39.136013,-25.470545,-1.9940939,3.1798668,2.5730398
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721464,81.74678,-12.153694,-41.401337,39.13636,-25.470705,-1.9941571,3.1799586,2.5731077
0,1,0,-17.721418,81.74655,-12.15363,-41.401684,39.136585,-25.47081,-1.9941981,3.1800177,2.5731516
0,1,0,-17.721418,81.74655,-12.15363,-41.401684,39.136585,-25.47081,-1.9941981,3.1800177,2.5731516
0,1,0,-17.721418,81.74655,-12.15363,-41.401684,39.136585,-25.47081,-1.9941981,3.1800177,2.5731516
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.72135,81.74619,-12.153534,-41.402218,39.136936,-25.47097,-1.994261,3.1801093,2.5732193
0,1,0,-17.726856,81.77433,-12.161259,-41.35972,39.10908,-25.458117,-1.9892294,3.1728096,2.5678086
0,1,0,-17.73244,81.80284,-12.169088,-41.316643,39.080853,-25.445093,-1.9841304,3.1654127,2.5623255
0,1,0,-17.736828,81.82525,-12.175241,-41.282803,39.058666,-25.434853,-1.9801235,3.1595998,2.5580168
0,1,0,-17.74252,81.85431,-12.183223,-41.23889,39.02989,-25.421572,-1.9749248,3.1520581,2.5524263
0,1,0,-17.748268,81.8837,-12.191292,-41.19451,39.000793,-25.408148,-1.9696703,3.1444356,2.5467758
0,1,0,-17.755081,81.9185,-12.200847,-41.141945,38.966343,-25.39225,-1.9634469,3.1354072,2.5400836
0,1,0,-17.760824,81.94783,-12.208903,-41.09763,38.937298,-25.378845,-1.9582005,3.1277964,2.534442
0,1,0,-17.76884,81.98877,-12.220144,-41.03578,38.896763,-25.360142,-1.9508784,3.1171741,2.5265684
0,1,0,-17.779963,82.04557,-12.235745,-40.949963,38.84051,-25.334183,-1.9407182,3.102435,2.515643
0,1,0,-17.790974,82.10182,-12.251187,-40.865013,38.78483,-25.308487,-1.9306605,3.0878444,2.5048275
0,1,0,-17.800442,82.15019,-12.264471,-40.791946,38.73694,-25.286388,-1.92201,3.0752952,2.495525
0,1,0,-17.809496,82.196434,-12.277169,-40.72209,38.69115,-25.26526,-1.9137399,3.0632977,2.4866319
