tfz/rules/weights,tfz/var/LeaderDistance/b,tfz/var/LeaderDistance/s0,tfz/var/LeaderDistance/s1,tfz/var/LeaderDistance/s2,tfz/var/LeaderDistance/s3,tfz/var/NextTLSDistance/b,tfz/var/NextTLSDistance/s0,tfz/var/NextTLSDistance/s1,tfz/var/NextTLSDistance/s2,tfz/var/NextTLSDistance/s3,tfz/var/NextTLSGreen/b,tfz/var/NextTLSGreen/s0,tfz/var/NextTLSGreen/s1,tfz/var/NextTLSRed/b,tfz/var/NextTLSRed/s0,tfz/var/NextTLSRed/s1,tfz/var/NextTLSYellow/b,tfz/var/NextTLSYellow/s0,tfz/var/NextTLSYellow/s1,tfz/var/Speed/b,tfz/var/Speed/s0,tfz/var/Speed/s1,tfz/var/Speed/s2,tfz/var/Speed/s3,tfz/var/SpeedToLeader/b,tfz/var/SpeedToLeader/s0,tfz/var/SpeedToLeader/s1,tfz/var/SpeedToLeader/s2,tfz/var/SpeedToLeader/s3
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16058464348316193,0.19740425050258636,0.3363953232765198,0.27138039469718933,0.0,0.21773891150951385,0.29669201374053955,0.16682937741279602,0.014593049883842468,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.410851001739502,4.838421821594238,4.0,4.0,-40.0,15.827778816223145,14.827921867370605,16.887481689453125,17.75851821899414
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16074490547180176,0.20324265956878662,0.3363953232765198,0.27138039469718933,0.0,0.19634726643562317,0.3284763693809509,0.1495087742805481,0.026961347088217735,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.3414742946624756,5.086361408233643,4.0,4.0,-40.0,15.993857383728027,14.486489295959473,16.955476760864258,18.130884170532227
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1605631560087204,0.20225578546524048,0.3363953232765198,0.27138039469718933,0.0,0.1902366727590561,0.3403315544128418,0.1437801718711853,0.028085608035326004,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.332563877105713,5.117002964019775,4.0,4.0,-40.0,15.871922492980957,14.658427238464355,16.413009643554688,18.91267204284668
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.15865391492843628,0.20634499192237854,0.3363953232765198,0.27138039469718933,0.0,0.18876294791698456,0.3428893983364105,0.13636988401412964,0.03999023884534836,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.3144216537475586,5.161673069000244,4.0,4.0,-40.0,15.78167724609375,14.768162727355957,16.158885955810547,19.46567153930664
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1588456779718399,0.2064247578382492,0.3363953232765198,0.27138039469718933,0.0,0.18785685300827026,0.34480905532836914,0.135347381234169,0.03980276361107826,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.289485216140747,5.187528610229492,4.0,4.0,-40.0,15.713760375976562,14.864986419677734,16.009288787841797,19.637226104736328
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1589040458202362,0.20583219826221466,0.3363953232765198,0.27138039469718933,0.0,0.18792465329170227,0.3456064760684967,0.13537532091140747,0.039946697652339935,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.291574001312256,5.1956868171691895,4.0,4.0,-40.0,15.656021118164062,14.942038536071777,15.988100051879883,19.6806640625
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1601046621799469,0.20402026176452637,0.3363953232765198,0.27138039469718933,0.0,0.1875762641429901,0.3450295031070709,0.13517288863658905,0.03966129571199417,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2903048992156982,5.192430019378662,4.0,4.0,-40.0,15.63659381866455,14.984081268310547,15.974961280822754,19.657255172729492
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.15712425112724304,0.20937521755695343,0.3363953232765198,0.27138039469718933,0.0,0.18730466067790985,0.34586355090141296,0.13497649133205414,0.03999112546443939,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2921736240386963,5.186885356903076,4.0,4.0,-40.0,15.626714706420898,15.00667667388916,15.935811996459961,19.707250595092773
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16049601137638092,0.20332446694374084,0.3363953232765198,0.27138039469718933,0.0,0.18764224648475647,0.3452618718147278,0.13547706604003906,0.0399421751499176,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2966270446777344,5.190934181213379,4.0,4.0,-40.0,15.598926544189453,15.013556480407715,15.998940467834473,19.668500900268555
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.15912269055843353,0.20525136590003967,0.3363953232765198,0.27138039469718933,0.0,0.18760615587234497,0.34533053636550903,0.1353328675031662,0.040199846029281616,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2968766689300537,5.179915904998779,4.0,4.0,-40.0,15.601387023925781,15.0182523727417,15.96396255493164,19.674753189086914
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16038939356803894,0.2040177881717682,0.3363953232765198,0.27138039469718933,0.0,0.18768887221813202,0.34510865807533264,0.13564510643482208,0.039662666618824005,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.296316623687744,5.194601535797119,4.0,4.0,-40.0,15.600396156311035,15.021409034729004,15.997875213623047,19.63233757019043
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1595236212015152,0.2041764259338379,0.3363953232765198,0.27138039469718933,0.0,0.18772070109844208,0.3449109196662903,0.13557405769824982,0.040136851370334625,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2996554374694824,5.180094242095947,4.0,4.0,-40.0,15.608613014221191,15.021341323852539,15.980899810791016,19.642473220825195
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16007474064826965,0.20393618941307068,0.3363953232765198,0.27138039469718933,0.0,0.18781675398349762,0.344664990901947,0.13549575209617615,0.03969481587409973,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2945070266723633,5.177757740020752,4.0,4.0,-40.0,15.594470977783203,15.02340030670166,15.989887237548828,19.602537155151367
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16006150841712952,0.20346276462078094,0.3363953232765198,0.27138039469718933,0.0,0.18785931169986725,0.3447551727294922,0.13570083677768707,0.03998706489801407,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.3029513359069824,5.1721510887146,4.0,4.0,-40.0,15.585091590881348,15.026409149169922,16.01091194152832,19.629138946533203
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.16013143956661224,0.20369793474674225,0.3363953232765198,0.27138039469718933,0.0,0.18768921494483948,0.3452536463737488,0.1354493498802185,0.039706040173769,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.3006434440612793,5.180263996124268,4.0,4.0,-40.0,15.59010124206543,15.035274505615234,15.989673614501953,19.661211013793945
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.15885259211063385,0.20631371438503265,0.3363953232765198,0.27138039469718933,0.0,0.1876375526189804,0.34504732489585876,0.13554352521896362,0.0399213470518589,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.3050878047943115,5.170192718505859,4.0,4.0,-40.0,15.595734596252441,15.043647766113281,15.970051765441895,19.65217399597168
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.15835559368133545,0.2074865996837616,0.3363953232765198,0.27138039469718933,0.0,0.18767371773719788,0.34518712759017944,0.13539265096187592,0.03991716355085373,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.2993035316467285,5.172318935394287,4.0,4.0,-40.0,15.59697151184082,15.027235984802246,15.968179702758789,19.654891967773438
