expected,edgar,jj,miguel
-0.11163444444434843,0.004511538,-0.051124,0.015766673
-0.0925999999999192,0.010777454,-0.06976031,0.0156484
-0.09928777777769147,0.08351402,0.038016737,-0.027675813
-0.08179666666659635,0.004429807,-0.07082583,-0.0003200695
-0.07407999999993464,0.0043568173,-0.07082499,-0.0034735892
-0.0869411111110363,0.0041609593,-0.07082585,-0.0065356893
-0.07459444444437935,0.0035670325,-0.070824616,-0.009747364
-0.06790666666660705,0.002133266,-0.07082577,-0.012899574
-0.06687777777771943,-0.0010769311,-0.07081137,-0.016513936
-0.0396122222221873,-0.007119453,-0.0707829,-0.020258479
-0.015433333333319862,-0.01442136,-0.0708238,-0.025430325
-0.034467777777747344,0.010388591,-0.070825905,-0.034542535
-0.029837777777752095,-0.031626355,-0.06530462,-0.08606965
-0.031895555555527366,-0.007821575,-0.070825905,-0.08663734
-0.0262366666666436,-0.013277437,-0.00039704703,-0.12391177
0.019034444444427482,-0.011619908,-0.0003969674,-0.12303053
-0.03806888888885585,-0.010393763,-0.0003969455,-0.12213489
-0.01491888888887516,-0.009454372,-0.00039697485,-0.121807225
-0.033953333333304414,-0.008135056,-0.0003969241,-0.120817505
-0.015433333333319862,0.07918651,0.003202361,-0.015759062
-0.05041555555551104,0.06517923,-0.00039233826,-0.07727257
-0.04578555555551578,-0.007603689,-0.0003970652,-0.12030016
-0.07613777777771258,-0.0694905,-0.00039642863,-0.121398814
-0.062247777777724174,-0.066079624,-0.00039722212,-0.12505321
-0.06379111111105651,-0.061958842,-0.00039699255,-0.12451423
-0.07459444444437979,-0.05638879,-0.00039603282,-0.12004161
-0.07613777777771212,-0.05130198,-0.0003958107,-0.119724706
-0.10134555555546763,-0.04921862,-0.0003969241,-0.12359378
-0.09671555555547197,-0.01584078,-0.00039155176,-0.10531339
-0.09620111111102814,-0.03420507,-0.0003952086,-0.11701476
-0.08694111111103586,-0.027594,-0.00039484538,-0.112540856
-0.08128222222215209,-0.013561576,-0.000393379,-0.10574618
-0.06636333333327604,0.07179402,-0.00033912156,-0.044483677
-0.0951722222221396,0.07502153,-0.00023589097,-0.019192766
-0.07562333333326787,0.07434358,-0.00031146966,-0.035091326
-0.06944999999994028,0.07655685,0.00017835386,0.008519551
-0.039612222222187736,0.07699007,0.0015257867,0.015183294
-0.04166999999996435,0.07726081,0.012724271,0.017482234
-0.011832222222211808,0.07742505,0.0004097065,0.013139306
-0.020063333333316002,0.076660946,-0.0002563093,-0.015060071
