tfz/rules/weights,tfz/var/LeaderDistance/b,tfz/var/LeaderDistance/s0,tfz/var/LeaderDistance/s1,tfz/var/LeaderDistance/s2,tfz/var/LeaderDistance/s3,tfz/var/LeaderDistance/s4,tfz/var/LeaderDistance/s5,tfz/var/LeaderDistance/s6,tfz/var/LeaderDistance/s7,tfz/var/NextTLSDistance/b,tfz/var/NextTLSDistance/s0,tfz/var/NextTLSDistance/s1,tfz/var/NextTLSDistance/s2,tfz/var/NextTLSDistance/s3,tfz/var/NextTLSDistance/s4,tfz/var/NextTLSDistance/s5,tfz/var/NextTLSDistance/s6,tfz/var/NextTLSDistance/s7,tfz/var/NextTLSGreen/b,tfz/var/NextTLSGreen/s0,tfz/var/NextTLSGreen/s1,tfz/var/NextTLSRed/b,tfz/var/NextTLSRed/s0,tfz/var/NextTLSRed/s1,tfz/var/NextTLSYellow/b,tfz/var/NextTLSYellow/s0,tfz/var/NextTLSYellow/s1,tfz/var/Speed/b,tfz/var/Speed/s0,tfz/var/Speed/s1,tfz/var/Speed/s2,tfz/var/Speed/s3,tfz/var/Speed/s4,tfz/var/Speed/s5,tfz/var/Speed/s6,tfz/var/Speed/s7,tfz/var/SpeedToLeader/b,tfz/var/SpeedToLeader/s0,tfz/var/SpeedToLeader/s1,tfz/var/SpeedToLeader/s2,tfz/var/SpeedToLeader/s3,tfz/var/SpeedToLeader/s4,tfz/var/SpeedToLeader/s5,tfz/var/SpeedToLeader/s6,tfz/var/SpeedToLeader/s7
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,-40.0,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.09173662215471268,0.15183009207248688,0.12215539813041687,0.06055934727191925,0.10087282210588455,0.05619795620441437,0.10157204419374466,0.1231934130191803,0.0,0.07784619927406311,0.2137344479560852,0.11231037974357605,0.03356146439909935,0.15328094363212585,0.1437881886959076,0.1794268637895584,0.08547452092170715,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.9337893724441528,4.3002824783325195,0.48835858702659607,2.715559244155884,0.5735858082771301,2.6833388805389404,2.222222328186035,2.222222328186035,-40.0,9.66865348815918,9.533488273620605,8.914923667907715,8.763896942138672,7.534568786621094,7.08676815032959,12.385665893554688,11.638056755065918
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.08277811110019684,0.16609425842761993,0.10793008655309677,0.07335165143013,0.09574582427740097,0.05918741971254349,0.09869442880153656,0.12302695214748383,0.0,-0.00016931889695115387,0.33407655358314514,0.07344704121351242,0.029219677671790123,0.1491793841123581,0.1646863967180252,0.18501003086566925,0.06225832551717758,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.40467599034309387,5.096842288970947,1.9063008949160576e-05,3.27221417427063,-0.0038016540929675102,2.940674066543579,2.222222328186035,2.222222328186035,-40.0,9.923434257507324,9.649040222167969,8.556489944458008,9.195934295654297,7.738272190093994,5.607813358306885,12.840143203735352,11.850163459777832
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.08274717628955841,0.16609366238117218,0.10853032022714615,0.07323326915502548,0.0949658676981926,0.06141815707087517,0.11527743935585022,0.14690281450748444,0.0,0.00010560404189163819,0.3379632532596588,0.06926193833351135,0.029363494366407394,0.14929692447185516,0.16508878767490387,0.1769847273826599,0.059512801468372345,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.39731860160827637,5.112775802612305,-0.0010635299840942025,3.255844831466675,4.623330823960714e-05,2.9558517932891846,2.222222328186035,2.222222328186035,-40.0,10.113055229187012,9.746227264404297,8.068297386169434,9.424369812011719,8.072251319885254,4.962186813354492,13.074650764465332,11.983916282653809
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.0817926675081253,0.16789941489696503,0.10762952268123627,0.07362944632768631,0.09386053681373596,0.06431866437196732,0.11527743935585022,0.14690281450748444,0.0,-0.0013793670805171132,0.3376109302043915,0.06908882409334183,0.028537768870592117,0.14875428378582,0.16579248011112213,0.18426178395748138,0.06317108124494553,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3540664613246918,5.19171667098999,-5.462449917104095e-05,3.1973910331726074,0.0007040555356070399,3.0033562183380127,2.222222328186035,2.222222328186035,-40.0,10.134021759033203,9.823792457580566,7.913480281829834,9.552694320678711,8.046812057495117,4.917062759399414,13.05978775024414,11.887406349182129
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.08229397237300873,0.16727682948112488,0.10860679298639297,0.0723642110824585,0.09400377422571182,0.0643325001001358,0.11527743935585022,0.14690281450748444,0.0,-0.0007754216785542667,0.33562514185905457,0.07120545953512192,0.028879813849925995,0.14880257844924927,0.1658935695886612,0.17620736360549927,0.060159627348184586,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3529408574104309,5.19671106338501,-0.00042345235124230385,3.200568437576294,-0.00019395403796806931,3.007097005844116,2.222222328186035,2.222222328186035,-40.0,10.1304931640625,9.902888298034668,7.836460113525391,9.559432983398438,8.016918182373047,4.929977893829346,13.059914588928223,11.809203147888184
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.0819275751709938,0.16794945299625397,0.10797709971666336,0.07290922850370407,0.09397023171186447,0.06494318693876266,0.11527743935585022,0.14690281450748444,0.0,-0.00020984845468774438,0.33736199140548706,0.06984008848667145,0.02913661114871502,0.14883634448051453,0.1658320277929306,0.18350845575332642,0.06342662125825882,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.35331350564956665,5.193093776702881,0.0005070506012998521,3.189168930053711,0.001775309443473816,3.0264220237731934,2.222222328186035,2.222222328186035,-40.0,10.104313850402832,9.972731590270996,7.771629810333252,9.5662202835083,8.028552055358887,4.944786071777344,13.060630798339844,11.732524871826172
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.08204638957977295,0.16755348443984985,0.10861535370349884,0.07250665873289108,0.09347447752952576,0.06502510607242584,0.11527743935585022,0.14690281450748444,0.0,0.00013701413990929723,0.33833906054496765,0.06906982511281967,0.02905459515750408,0.14862966537475586,0.16587920486927032,0.17597122490406036,0.060773417353630066,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.35178327560424805,5.20189905166626,0.00032675734837539494,3.1959128379821777,0.0005560994613915682,3.0204873085021973,2.222222328186035,2.222222328186035,-40.0,10.078367233276367,10.045625686645508,7.726726531982422,9.571434020996094,8.024834632873535,4.942544937133789,13.10343074798584,11.695839881896973
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.08192209154367447,0.1680009514093399,0.10790010541677475,0.0729818344116211,0.09385448694229126,0.06417933851480484,0.11527743935585022,0.14690281450748444,0.0,0.0015054927207529545,0.33583083748817444,0.0704120621085167,0.02875276654958725,0.1484532505273819,0.16618432104587555,0.18357209861278534,0.06330978870391846,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.342858225107193,5.20831298828125,-0.001388064119964838,3.183899402618408,-0.0011805889662355185,3.007120132446289,2.222222328186035,2.222222328186035,-40.0,10.059876441955566,10.119134902954102,7.693154335021973,9.51923942565918,8.050556182861328,4.966211318969727,13.084712028503418,11.598403930664062
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.0821768119931221,0.16733846068382263,0.10844668745994568,0.07268347591161728,0.09374827146530151,0.06414321810007095,0.11527743935585022,0.14690281450748444,0.0,-0.0011269605020061135,0.3370380401611328,0.06931336969137192,0.029363451525568962,0.1486595869064331,0.1630701869726181,0.17285718023777008,0.05886752903461456,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.339089572429657,5.204398155212402,-0.0033419919200241566,3.186931848526001,-0.004731843248009682,3.0186009407043457,2.222222328186035,2.222222328186035,-40.0,10.02836799621582,10.175374984741211,7.653552055358887,9.522688865661621,8.056156158447266,4.96966028213501,13.066713333129883,11.503442764282227
