Lane change left,Lane change none,Lane change right,Lane change left edgar,Lane change none edgar,Lane change right edgar,Lane change left jj,Lane change none jj,Lane change right jj,Lane change left miguel,Lane change none miguel,Lane change right miguel
0,1,0,-16.361975,74.80287,-10.246848,-53.07453,46.27632,-28.259296,-3.2928016,5.0566764,3.9378448
0,1,0,-16.37727,74.88099,-10.268302,-52.87751,46.180355,-28.247442,-3.277553,5.034717,3.922161
0,1,0,-16.393215,74.96243,-10.290664,-52.672127,46.080326,-28.235086,-3.2616582,5.0118284,3.9058135
0,1,0,-16.417084,75.08436,-10.324143,-52.364647,45.93057,-28.216583,-3.2378614,4.9775596,3.881338
0,1,0,-16.436054,75.181244,-10.350752,-52.120274,45.811546,-28.20188,-3.2189488,4.9503245,3.861886
0,1,0,-16.459888,75.30298,-10.384184,-51.813225,45.662,-28.183403,-3.195186,4.9161043,3.8374453
0,1,0,-16.48079,75.40974,-10.413495,-51.54403,45.530888,-28.167208,-3.1743517,4.886102,3.8160172
0,1,0,-16.50173,75.5167,-10.442869,-51.27427,45.399498,-28.150976,-3.1534743,4.8560376,3.7945442
0,1,0,-16.520477,75.612465,-10.469165,-51.032764,45.28187,-28.136444,-3.134783,4.8291216,3.77532
0,1,0,-16.543283,75.72893,-10.501152,-50.739002,45.138794,-28.11877,-3.1120484,4.7963824,3.751937
0,1,0,-16.566862,75.84939,-10.534224,-50.435272,44.990864,-28.10049,-3.0885413,4.762531,3.7277596
0,1,0,-16.58652,75.949776,-10.561794,-50.182056,44.867535,-28.085258,-3.0689445,4.7343106,3.7076037
0,1,0,-16.62039,76.1228,-10.609307,-49.898224,44.691826,-28.01469,-3.0351734,4.685678,3.6728697
0,1,0,-16.643639,76.24152,-10.641915,-49.71879,44.574947,-27.961796,-3.0119977,4.6523037,3.649033
0,1,0,-16.67363,76.39471,-10.683979,-49.48731,44.424168,-27.893566,-2.9820988,4.609248,3.6182816
0,1,0,-16.697096,76.51459,-10.716893,-49.30619,44.306194,-27.84018,-2.958705,4.5755596,3.5942204
0,1,0,-16.727896,76.67189,-10.760093,-49.068462,44.15135,-27.770103,-2.927999,4.531341,3.5626388
0,1,0,-16.755318,76.81195,-10.798557,-48.856804,44.013477,-27.70771,-2.9006603,4.491972,3.5345204
0,1,0,-16.782389,76.95022,-10.836526,-48.647865,43.87738,-27.646126,-2.8736732,4.4531093,3.5067637
0,1,0,-16.81311,77.107155,-10.879619,-48.41073,43.722923,-27.576225,-2.843044,4.4090014,3.4752607
0,1,0,-16.844522,77.267586,-10.923676,-48.168293,43.565,-27.50476,-2.8117292,4.363907,3.4430532
0,1,0,-16.874218,77.41927,-10.965332,-47.939056,43.415684,-27.43719,-2.78212,4.321267,3.4125996
0,1,0,-16.9054,77.57853,-11.009063,-47.698418,43.258938,-27.366257,-2.7510383,4.276508,3.3806314
0,1,0,-16.939375,77.75208,-11.056722,-47.43615,43.088104,-27.288948,-2.7171626,4.2277255,3.3457897
0,1,0,-16.971523,77.916275,-11.1018095,-47.188038,42.92649,-27.215813,-2.685116,4.1815767,3.312829
0,1,0,-16.999767,78.06055,-11.141428,-46.97002,42.78448,-27.151546,-2.656956,4.1410246,3.283866
0,1,0,-17.030771,78.2189,-11.184912,-46.730736,42.628616,-27.081013,-2.6260488,4.0965166,3.2520776
0,1,0,-17.059456,78.365425,-11.225147,-46.509323,42.484356,-27.015676,-2.598903,4.0572557,3.2234125
0,1,0,-17.087587,78.5091,-11.264604,-46.29228,42.342094,-26.950027,-2.5732064,4.0199785,3.1957803
0,1,0,-17.115215,78.65022,-11.303356,-46.079094,42.202366,-26.885548,-2.547967,3.9833634,3.1686392
0,1,0,-17.140945,78.78165,-11.339449,-45.88055,42.07223,-26.825497,-2.524461,3.9492638,3.1433625
0,1,0,-17.166763,78.91352,-11.375659,-45.681355,41.94167,-26.765247,-2.5008783,3.9150522,3.118003
0,1,0,-17.19402,79.052734,-11.413887,-45.471058,41.803833,-26.70164,-2.4759803,3.8789332,3.0912297
0,1,0,-17.218138,79.17593,-11.44772,-45.28494,41.681843,-26.645348,-2.4539456,3.8469675,3.067535
0,1,0,-17.242947,79.30264,-11.482515,-45.09353,41.556385,-26.587452,-2.431284,3.8140929,3.043166
0,1,0,-17.269518,79.43836,-11.519784,-44.88851,41.42201,-26.525442,-2.4070115,3.7788813,3.017065
0,1,0,-17.298529,79.58653,-11.560474,-44.664673,41.275295,-26.45774,-2.3805108,3.7404368,2.9885676
0,1,0,-17.325878,79.72622,-11.598833,-44.45365,41.136982,-26.393915,-2.3555274,3.7041938,2.9617023
0,1,0,-17.35283,79.86389,-11.63664,-44.245674,41.000664,-26.331009,-2.3309047,3.668474,2.9352245
0,1,0,-17.381004,80.007805,-11.676158,-44.028282,40.858173,-26.265257,-2.3051672,3.6311367,2.907548
0,1,0,-17.405657,80.13372,-11.710736,-43.838074,40.7335,-26.207727,-2.282648,3.598469,2.8833327
0,1,0,-17.433886,80.2779,-11.750329,-43.62027,40.590748,-26.141846,-2.2568614,3.5610602,2.8556032
0,1,0,-17.459778,80.41015,-11.786646,-43.420494,40.459805,-26.081423,-2.2332094,3.5267487,2.8301692
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
0,1,0,-20.975422,92.0912,-14.370902,-19.328756,25.640305,-20.106289,0.021424383,0.521685,0.25996625
