tfz/rules/weights,tfz/var/LeaderDistance/b,tfz/var/LeaderDistance/s0,tfz/var/LeaderDistance/s1,tfz/var/LeaderDistance/s2,tfz/var/LeaderDistance/s3,tfz/var/LeaderDistance/s4,tfz/var/LeaderDistance/s5,tfz/var/NextTLSDistance/b,tfz/var/NextTLSDistance/s0,tfz/var/NextTLSDistance/s1,tfz/var/NextTLSDistance/s2,tfz/var/NextTLSDistance/s3,tfz/var/NextTLSGreen/b,tfz/var/NextTLSGreen/s0,tfz/var/NextTLSGreen/s1,tfz/var/NextTLSRed/b,tfz/var/NextTLSRed/s0,tfz/var/NextTLSRed/s1,tfz/var/NextTLSYellow/b,tfz/var/NextTLSYellow/s0,tfz/var/NextTLSYellow/s1,tfz/var/Speed/b,tfz/var/Speed/s0,tfz/var/Speed/s1,tfz/var/Speed/s2,tfz/var/Speed/s3,tfz/var/SpeedToLeader/b,tfz/var/SpeedToLeader/s0,tfz/var/SpeedToLeader/s1,tfz/var/SpeedToLeader/s2,tfz/var/SpeedToLeader/s3
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.1428571492433548,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19420118629932404,0.023557089269161224,-4.827452357858419e-07,0.5936372876167297,0.1999398171901703,0.18094302713871002,0.0,0.09153982251882553,0.4552115499973297,0.00018821810954250395,0.16389679908752441,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.595648765563965,2.949831247329712,0.00034917189623229206,5.011637210845947,-40.0,15.981962203979492,17.008991241455078,17.959564208984375,13.580904006958008
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1942659169435501,0.02341441437602043,0.00012758097727783024,0.5971486568450928,0.1999398171901703,0.18094302713871002,0.0,0.08699960261583328,0.4577639400959015,0.0004891817807219923,0.16626988351345062,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.603450775146484,2.9296138286590576,0.000412439345382154,4.8907246589660645,-40.0,16.31398582458496,17.31180191040039,17.685518264770508,10.755532264709473
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19429859519004822,0.02336595393717289,-0.0001294363901251927,0.599811851978302,0.1999398171901703,0.18094302713871002,0.0,0.08727383613586426,0.45736023783683777,-0.0001206602028105408,0.16611671447753906,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.593461513519287,2.9345810413360596,-0.0004514874308370054,4.92491340637207,-40.0,16.192232131958008,17.44554901123047,17.889455795288086,9.223482131958008
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19423574209213257,0.023296913132071495,9.173672879114747e-05,0.6030979156494141,0.1999398171901703,0.18094302713871002,0.0,0.08776762336492538,0.4559435546398163,-0.0001278097042813897,0.16745024919509888,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.599180221557617,2.922799825668335,4.4548763980856165e-05,4.915581226348877,-40.0,16.174840927124023,17.558319091796875,18.016624450683594,7.473273277282715
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19424398243427277,0.023320119827985764,-1.4751378330402076e-05,0.6128139495849609,0.1999398171901703,0.18094302713871002,0.0,0.08780167996883392,0.45748183131217957,-0.00025472010020166636,0.16458465158939362,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.6050615310668945,2.926663875579834,-0.00014618245768360794,4.919935703277588,-40.0,16.083362579345703,17.65688705444336,18.208650588989258,5.992337703704834
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19427292048931122,0.023334985598921776,-0.00011255575373070315,0.6033177375793457,0.1999398171901703,0.18094302713871002,0.0,0.0865103080868721,0.45904794335365295,-0.00017371079593431205,0.16435714066028595,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.60888147354126,2.9248733520507812,-9.26442735362798e-05,4.91707706451416,-40.0,16.053911209106445,17.698150634765625,18.178447723388672,5.983903408050537
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19429489970207214,0.023410484194755554,-0.00010529711289564148,0.6128637790679932,0.1999398171901703,0.18094302713871002,0.0,0.08470289409160614,0.4609900116920471,0.0002667996450327337,0.16417831182479858,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.602375507354736,2.923985004425049,-5.441610119305551e-05,4.9274821281433105,-40.0,16.032981872558594,17.746597290039062,18.169198989868164,5.982830047607422
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19417642056941986,0.023265734314918518,7.966202974785119e-05,0.6118283867835999,0.1999398171901703,0.18094302713871002,0.0,0.08551023155450821,0.4601218104362488,8.688750676810741e-05,0.16423994302749634,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.602845668792725,2.928241491317749,0.0003086572978645563,4.920947551727295,-40.0,16.023645401000977,17.78240394592285,18.148948669433594,5.966163158416748
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1942921131849289,0.023358196020126343,-0.00012235468602739275,0.6045494675636292,0.1999398171901703,0.18094302713871002,0.0,0.08512388914823532,0.46011650562286377,5.011720350012183e-05,0.16537126898765564,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.607437610626221,2.930014133453369,-0.0002873696794267744,4.92996883392334,-40.0,15.996624946594238,17.804046630859375,18.14052963256836,5.967871189117432
