Acceleration,Leader distance,Next TLS distance,Next TLS green,Next TLS red,Next TLS yellow,Speed,Speed to leader
-0.07253666666660408,0.3536791625439978,0.2594716744429571,0.0,1.0,0.0,4.710253333329262,-0.4603715829439458
-0.1059755555554638,0.34501311848125377,0.25447689371052723,0.0,1.0,0.0,4.637716666662659,-0.4333022031372025
-0.10031666666657912,0.3363630749319102,0.2508024700544175,0.0,1.0,0.0,4.531741111107193,-0.43250217746717823
-0.110091111111017,0.3279686297833371,0.2459080031755393,0.0,1.0,0.0,4.431424444440613,-0.4197222574286563
-0.0668777777777203,0.3197505393272488,0.241936572899046,0.0,1.0,0.0,4.321333333329597,-0.4109045228044135
-0.10957666666657227,0.3116552807359633,0.2375171615343751,0.0,1.0,0.0,4.254455555551877,-0.4047629295642743
-0.1363277777776597,0.30377316411301925,0.23345292152502065,0.0,1.0,0.0,4.144878888885303,-0.3941058311472041
-0.07973888888882019,0.2961585136382445,0.2297181462731869,0.0,1.0,0.0,4.008551111107645,-0.3807325237387378
-0.09157111111103156,0.2887702425723957,0.2261283299386296,0.0,1.0,0.0,3.9288122222188235,-0.3694135532924374
-0.08694111111103586,0.2811651851696015,0.2217960671111291,0.0,1.0,0.0,3.837241111107793,-0.3802528701397119
-0.10751888888879567,0.2751452851385061,0.21837973317730408,0.0,1.0,0.0,3.750299999996757,-0.3009950015547691
-0.11729333333323178,0.2684613116587146,0.21490502380660345,0.0,1.0,0.0,3.6427811111079613,-0.3341986739895741
-0.08025333333326401,0.2618150652109969,0.21160907088784026,0.0,1.0,0.0,3.5254877777747287,-0.33231232238588504
-0.059161111111059476,0.25540861980064605,0.2077637766536208,0.0,1.0,0.0,3.445234444441465,-0.32032227051754697
-0.1414722222221001,0.2490767010265184,0.20456239388240832,0.0,1.0,0.0,3.3860733333304065,-0.3165959387063779
-0.06893555555549646,0.2429725801035555,0.2013711133914441,0.0,1.0,0.0,3.244601111108306,-0.3052060461481467
-0.08436888888881587,0.23685667976657185,0.19868260413595654,0.0,1.0,0.0,3.1756655555528086,-0.3057950168491832
-0.05916111111105993,0.2310347879577828,0.19555604252650646,0.0,1.0,0.0,3.0912966666639936,-0.2910945904394531
-0.12449555555544788,0.2250631104697864,0.19240475928857947,0.0,1.0,0.0,3.0321355555529337,-0.2985838743998173
-0.13375555555544014,0.21938876230182525,0.1901269537177944,0.0,1.0,0.0,2.9076399999974867,-0.2837174083980578
-0.06842111111105176,0.2138533249369094,0.18690538131741272,0.0,1.0,0.0,2.7738844444420456,-0.2767718682457936
-0.08591222222214823,0.20820648010459805,0.18457319187035856,0.0,1.0,0.0,2.7054633333309943,-0.2823422416155665
-0.06687777777771986,0.2030406910612509,0.18153857682581948,0.0,1.0,0.0,2.6195511111088456,-0.2582894521673591
-0.10957666666657184,0.1979975260055669,0.17923332349346502,0.0,1.0,0.0,2.552673333331126,-0.25215825278420034
-0.06276222222216797,0.1929927527358256,0.17740522595543354,1.0,0.0,0.0,2.4430966666645544,-0.2502386634870639
-0.10700444444435186,0.18845357606278945,0.1745337995461215,1.0,0.0,0.0,2.380334444442386,-0.2269588336518087
-0.09928777777769147,0.18365149205550196,0.17259759277600714,1.0,0.0,0.0,2.273329999998034,-0.2401042003643692
-0.14507333333320815,0.17917903738278435,0.16996250516746073,1.0,0.0,0.0,2.1740422222203426,-0.22362273363588334
-0.08179666666659613,0.1747676058107547,0.16816384144049334,1.0,0.0,0.0,2.0289688888871344,-0.2205715786014828
-0.042184444444407936,0.1704622614054806,0.16590415297326647,1.0,0.0,0.0,1.9471722222205383,-0.21526722026370493
-0.09208555555547604,0.16654250942901416,0.16403681326844805,1.0,0.0,0.0,1.9049877777761304,-0.19598759882332212
-0.03806888888885607,0.16285832171815742,0.16259831023206614,1.0,0.0,0.0,1.8129022222206543,-0.18420938554283767
-0.09105666666658818,0.15935876089467982,0.16139723579748647,1.0,0.0,0.0,1.7748333333317985,-0.17497804117387972
-0.0946577777776958,0.15631205042942153,0.15945208596732738,1.0,0.0,0.0,1.68377666666521,-0.15233552326291466
-0.0632766666666118,0.15368923914187704,0.1583162888424174,1.0,0.0,0.0,1.5891188888875143,-0.13114056437722432
-0.07716666666659999,0.15125833050113535,0.15630382388935704,1.0,0.0,0.0,1.5258422222209025,-0.12154543203708368
-0.06430555555549987,0.14939269304468072,0.1544256121766269,1.0,0.0,0.0,1.4486755555543025,-0.0932818728227316
-0.02932333333330805,0.14792212447765352,0.15293835754078575,1.0,0.0,0.0,1.3843699999988026,-0.07352842835136109
-0.07253666666660408,0.14742201234408558,0.1519302139995988,1.0,0.0,0.0,1.3550466666654946,-0.025005606678396568
-0.045785555555516,0.14692190021051765,0.15029104747329974,1.0,0.0,0.0,1.2825099999988905,-0.025005606678396568
-0.16359333333319204,0.1463715762610676,0.14944564776329974,1.0,0.0,0.0,1.2367244444433745,-0.027516197472502668
-0.08642666666659192,0.14615383725798226,0.1489886646859697,1.0,0.0,0.0,1.0731311111101824,-0.010886950154268328
-0.049901111111067986,0.14630821136961478,0.14785941003039466,1.0,0.0,0.0,0.9867044444435904,0.007718705581627461
-0.011832222222211808,0.14684247223949354,0.14699682002404876,1.0,0.0,0.0,0.9368033333325224,0.026713043493939104
-0.05195888888884415,0.14773450098123173,0.14575445231499898,1.0,0.0,0.0,0.9249711111103108,0.04460143708690811
-0.007716666666659933,0.14903895525285368,0.14629113226919455,1.0,0.0,0.0,0.8730122222214666,0.06522271358109766
-0.02212111111109194,0.15070076202844912,0.14506337947533535,1.0,0.0,0.0,0.8652955555548066,0.08309033877977168
0.007716666666659933,0.1526839822562888,0.14404845917515008,1.0,0.0,0.0,0.8431744444437147,0.09916101139198387
0.03498222222219205,0.1549086162018259,0.14325998318718364,1.0,0.0,0.0,0.8508911111103746,0.111231697276855
-0.014918888888875938,0.1572384740345575,0.14246118793677834,1.0,0.0,0.0,0.8858733333325667,0.1164928916365815
0.16050666666652802,0.15977958224882266,0.14139759920112716,1.0,0.0,0.0,0.8709544444436907,0.12705541071325574
0.041669999999964125,0.16257609154650904,0.14077668989786066,1.0,0.0,0.0,1.0314611111102188,0.13982546488432046
0.07870999999993168,0.16517170377633364,0.1394541003954107,1.0,0.0,0.0,1.0731311111101831,0.12978061149122944
0.06327666666661202,0.16776458578746298,0.13809623376003166,1.0,0.0,0.0,1.1518411111101146,0.12964410055646702
0.07922444444437615,0.17050854652114428,0.1373076635429107,1.0,0.0,0.0,1.2151177777767266,0.13719803668406527
0.05350222222217593,0.17310522292191,0.13533676177695644,1.0,0.0,0.0,1.2943422222211027,0.1298338200382858
0.11214888888879204,0.17580053679877106,0.13429628286923306,1.0,0.0,0.0,1.3478444444432789,0.13476569384305215
0.09671555555547197,0.17854180087152074,0.1323553319127487,1.0,0.0,0.0,1.4599933333320707,0.13706320363748506
0.10494666666657593,0.18114420420378924,0.13093775627812362,1.0,0.0,0.0,1.5567088888875429,0.13012016661342507
0.1280966666665564,0.1838175113959803,0.12940113034084935,1.0,0.0,0.0,1.6616555555541186,0.1336653596095534
0.07099333333327196,0.18643868282183587,0.12795737216709807,1.0,0.0,0.0,1.789752222220675,0.13105857129277787
0.10957666666657227,0.18887969070527347,0.12596209923281287,1.0,0.0,0.0,1.8607455555539467,0.12205039417188067
0.10237444444435616,0.1908397421852628,0.12389973201412274,1.0,0.0,0.0,1.9703222222205192,0.09800257399946233
0.10854777777768376,0.19249550542288896,0.12145576766977645,1.0,0.0,0.0,2.0726966666648754,0.08278816188131266
0.09362888888880816,0.19391482086149567,0.11935341523544145,1.0,0.0,0.0,2.181244444442559,0.07096577193033937
0.15690555555541996,0.1950495666311005,0.11713584478575802,1.0,0.0,0.0,2.274873333331368,0.05673728848024062
0.10443222222213187,0.19583944080680746,0.11501419876309958,1.0,0.0,0.0,2.431778888886788,0.03949370878534353
0.07459444444438024,0.1964062836676138,0.11220438070045008,1.0,0.0,0.0,2.536211111108919,0.02834214304031768
0.09722999999991576,0.1966409717493408,0.10978362775660404,1.0,0.0,0.0,2.6108055555532994,0.01173440408634896
0.08745555555547968,0.19652847743138294,0.10737091299455026,1.0,0.0,0.0,2.7080355555532147,-0.005624715897891264
0.09054222222214392,0.19616539839235386,0.10424301188355914,1.0,0.0,0.0,2.795491111108695,-0.0181539519514562
0.10083111111102384,0.19555347627142752,0.10160860933416917,1.0,0.0,0.0,2.886033333330839,-0.0305961060463158
0.05916111111105993,0.1949069345391056,0.0991301193272252,1.0,0.0,0.0,2.9868644444418626,-0.032327086616097844
0.08385444444437251,0.19415232470770602,0.09594161008337347,1.0,0.0,0.0,3.0460255555529225,-0.03773049156997743
0.041155555555520085,0.19343320407424816,0.0930010982138303,1.0,0.0,0.0,3.129879999997295,-0.035956031672892415
0.01337555555554415,0.1928000554584331,0.0899756480172227,1.0,0.0,0.0,3.171035555552815,-0.03165743079075334
0.01903444444442793,0.19224218307979066,0.0867778829207851,1.0,0.0,0.0,3.18441111110836,-0.02789361893212217
0.05761777777772802,0.191883492010222,0.08353784188929264,1.0,0.0,0.0,3.203445555552787,-0.0179345534784332
-0.0231499999999798,0.19155299022546035,0.08033605051961562,1.0,0.0,0.0,3.2610633333305152,-0.016525089238081492
0.004115555555551875,0.19132927094050525,0.0780944389441394,1.0,0.0,0.0,3.2379133333305354,-0.011185964247754754
0.006687777777771853,0.1912643321178492,0.07494280390510033,1.0,0.0,0.0,3.242028888886088,-0.003246941132802661
0.011832222222212252,0.1911594548605765,0.07251751102224115,1.0,0.0,0.0,3.2487166666638587,-0.005243862863634874
-0.0030866666666642395,0.19129852070276224,0.06899403523102565,1.0,0.0,0.0,3.2605488888860714,0.00695329210928719
-0.006173333333328035,0.1916437021607965,0.06652615441430186,1.0,0.0,0.0,3.257462222219407,0.0172590729017088
0.039097777777743925,0.19181766275615905,0.0634559968619595,1.0,0.0,0.0,3.2512888888860787,0.008698029768130056
0.04424222222218432,0.19179573017557827,0.060670352035188786,1.0,0.0,0.0,3.290386666663823,-0.0010966290290372882
0.045785555555515334,0.1916393961558864,0.057358436716888964,1.0,0.0,0.0,3.3346288888860074,-0.00781670098459486
0.03652555555552439,0.1913966493530444,0.05487930253924442,1.0,0.0,0.0,3.3804144444415227,-0.012137340142100328
0.0447566666666277,0.1910194568681696,0.05182345590929357,1.0,0.0,0.0,3.4169399999970467,-0.01885962424373844
0.05607444444439613,0.19062484026880624,0.049146425929808925,1.0,0.0,0.0,3.461696666663675,-0.019730829968168
