tfz/rules/weights,tfz/var/LeaderDistance/b,tfz/var/LeaderDistance/s0,tfz/var/LeaderDistance/s1,tfz/var/LeaderDistance/s2,tfz/var/LeaderDistance/s3,tfz/var/NextTLSDistance/b,tfz/var/NextTLSDistance/s0,tfz/var/NextTLSDistance/s1,tfz/var/NextTLSDistance/s2,tfz/var/NextTLSDistance/s3,tfz/var/NextTLSGreen/b,tfz/var/NextTLSGreen/s0,tfz/var/NextTLSGreen/s1,tfz/var/NextTLSRed/b,tfz/var/NextTLSRed/s0,tfz/var/NextTLSRed/s1,tfz/var/NextTLSYellow/b,tfz/var/NextTLSYellow/s0,tfz/var/NextTLSYellow/s1,tfz/var/Speed/b,tfz/var/Speed/s0,tfz/var/Speed/s1,tfz/var/Speed/s2,tfz/var/Speed/s3,tfz/var/SpeedToLeader/b,tfz/var/SpeedToLeader/s0,tfz/var/SpeedToLeader/s1,tfz/var/SpeedToLeader/s2,tfz/var/SpeedToLeader/s3
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,4.0,4.0,4.0,4.0,-40.0,16.0,16.0,16.0,16.0
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19440977275371552,0.21467188000679016,0.19954068958759308,0.18050873279571533,0.0,0.1648862659931183,0.30889615416526794,0.12344896793365479,0.20518776774406433,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.975731134414673,4.029952049255371,4.0,4.0,-40.0,15.522068977355957,16.034475326538086,16.74510955810547,15.363373756408691
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19440977275371552,0.21467188000679016,0.19954068958759308,0.18050873279571533,0.0,0.1648862659931183,0.30889615416526794,0.12344896793365479,0.20518776774406433,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.975731134414673,4.029952049255371,4.0,4.0,-40.0,15.522068977355957,16.034475326538086,16.74510955810547,15.363373756408691
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19440977275371552,0.21467188000679016,0.19954068958759308,0.18050873279571533,0.0,0.1648862659931183,0.30889615416526794,0.12344896793365479,0.20518776774406433,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.975731134414673,4.029952049255371,4.0,4.0,-40.0,15.522068977355957,16.034475326538086,16.74510955810547,15.363373756408691
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19440977275371552,0.21467188000679016,0.19954068958759308,0.18050873279571533,0.0,0.1648862659931183,0.30889615416526794,0.12344896793365479,0.20518776774406433,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.975731134414673,4.029952049255371,4.0,4.0,-40.0,15.522068977355957,16.034475326538086,16.74510955810547,15.363373756408691
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.19440977275371552,0.21467188000679016,0.19954068958759308,0.18050873279571533,0.0,0.1648862659931183,0.30889615416526794,0.12344896793365479,0.20518776774406433,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.975731134414673,4.029952049255371,4.0,4.0,-40.0,15.522068977355957,16.034475326538086,16.74510955810547,15.363373756408691
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.18517723679542542,0.24536775052547455,0.24270762503147125,0.05165936052799225,0.0,0.15994104743003845,0.33422842621803284,0.10414676368236542,0.2041691094636917,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.8521487712860107,4.273496627807617,4.0,4.0,-40.0,15.565385818481445,15.476290702819824,17.197086334228516,15.545656204223633
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.18517723679542542,0.24536775052547455,0.24270762503147125,0.05165936052799225,0.0,0.15994104743003845,0.33422842621803284,0.10414676368236542,0.2041691094636917,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.8521487712860107,4.273496627807617,4.0,4.0,-40.0,15.565385818481445,15.476290702819824,17.197086334228516,15.545656204223633
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.18517723679542542,0.24536775052547455,0.24270762503147125,0.05165936052799225,0.0,0.15994104743003845,0.33422842621803284,0.10414676368236542,0.2041691094636917,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.8521487712860107,4.273496627807617,4.0,4.0,-40.0,15.565385818481445,15.476290702819824,17.197086334228516,15.545656204223633
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.18517723679542542,0.24536775052547455,0.24270762503147125,0.05165936052799225,0.0,0.15994104743003845,0.33422842621803284,0.10414676368236542,0.2041691094636917,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.8521487712860107,4.273496627807617,4.0,4.0,-40.0,15.565385818481445,15.476290702819824,17.197086334228516,15.545656204223633
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.18517723679542542,0.24536775052547455,0.24270762503147125,0.05165936052799225,0.0,0.15994104743003845,0.33422842621803284,0.10414676368236542,0.2041691094636917,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.8521487712860107,4.273496627807617,4.0,4.0,-40.0,15.565385818481445,15.476290702819824,17.197086334228516,15.545656204223633
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.17394232749938965,0.2764417827129364,0.22745852172374725,0.042313750833272934,0.0,0.15730232000350952,0.3575011193752289,0.0843760296702385,0.20250999927520752,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.576133966445923,4.776358127593994,4.0,4.0,-40.0,15.499622344970703,15.216242790222168,17.173057556152344,16.097211837768555
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.17394232749938965,0.2764417827129364,0.22745852172374725,0.042313750833272934,0.0,0.15730232000350952,0.3575011193752289,0.0843760296702385,0.20250999927520752,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.576133966445923,4.776358127593994,4.0,4.0,-40.0,15.499622344970703,15.216242790222168,17.173057556152344,16.097211837768555
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.17394232749938965,0.2764417827129364,0.22745852172374725,0.042313750833272934,0.0,0.15730232000350952,0.3575011193752289,0.0843760296702385,0.20250999927520752,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.576133966445923,4.776358127593994,4.0,4.0,-40.0,15.499622344970703,15.216242790222168,17.173057556152344,16.097211837768555
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.17394232749938965,0.2764417827129364,0.22745852172374725,0.042313750833272934,0.0,0.15730232000350952,0.3575011193752289,0.0843760296702385,0.20250999927520752,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,3.576133966445923,4.776358127593994,4.0,4.0,-40.0,15.499622344970703,15.216242790222168,17.173057556152344,16.097211837768555
