tfz/rules/weights,tfz/var/LeaderDistance/b,tfz/var/LeaderDistance/s0,tfz/var/LeaderDistance/s1,tfz/var/LeaderDistance/s2,tfz/var/LeaderDistance/s3,tfz/var/LeaderDistance/s4,tfz/var/LeaderDistance/s5,tfz/var/LeaderDistance/s6,tfz/var/LeaderDistance/s7,tfz/var/NextTLSDistance/b,tfz/var/NextTLSDistance/s0,tfz/var/NextTLSDistance/s1,tfz/var/NextTLSDistance/s2,tfz/var/NextTLSDistance/s3,tfz/var/NextTLSDistance/s4,tfz/var/NextTLSDistance/s5,tfz/var/NextTLSDistance/s6,tfz/var/NextTLSDistance/s7,tfz/var/NextTLSGreen/b,tfz/var/NextTLSGreen/s0,tfz/var/NextTLSGreen/s1,tfz/var/NextTLSRed/b,tfz/var/NextTLSRed/s0,tfz/var/NextTLSRed/s1,tfz/var/NextTLSYellow/b,tfz/var/NextTLSYellow/s0,tfz/var/NextTLSYellow/s1,tfz/var/Speed/b,tfz/var/Speed/s0,tfz/var/Speed/s1,tfz/var/Speed/s2,tfz/var/Speed/s3,tfz/var/Speed/s4,tfz/var/Speed/s5,tfz/var/Speed/s6,tfz/var/Speed/s7,tfz/var/SpeedToLeader/b,tfz/var/SpeedToLeader/s0,tfz/var/SpeedToLeader/s1,tfz/var/SpeedToLeader/s2,tfz/var/SpeedToLeader/s3,tfz/var/SpeedToLeader/s4,tfz/var/SpeedToLeader/s5,tfz/var/SpeedToLeader/s6,tfz/var/SpeedToLeader/s7
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.1111111119389534,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,2.222222328186035,-40.0,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414,8.88888931274414
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.11245153844356537,0.10931966453790665,0.10834893584251404,0.11650966852903366,0.09153784811496735,0.11223207414150238,0.1111111119389534,0.1111111119389534,0.0,0.09489668905735016,0.1498977690935135,0.08943942934274673,0.1104641854763031,0.09812524169683456,0.1396866738796234,0.08600372821092606,0.0891050323843956,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,1.7104376554489136,2.991631269454956,1.7996898889541626,2.543043375015259,1.8610992431640625,1.8004204034805298,2.222222328186035,2.222222328186035,-40.0,8.929259300231934,8.986324310302734,8.991316795349121,8.899432182312012,8.566449165344238,9.577190399169922,8.7766695022583,8.45981502532959
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.10891856253147125,0.11815591156482697,0.10342085361480713,0.11449050903320312,0.03176327049732208,0.17549476027488708,0.1111111119389534,0.1111111119389534,0.0,0.08646538853645325,0.16844914853572845,0.07888520509004593,0.11054643988609314,0.09674947708845139,0.13910800218582153,0.08797944337129593,0.07478539645671844,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,1.3281441926956177,3.5703353881835938,1.5235251188278198,2.6904666423797607,1.5329420566558838,2.20320987701416,2.222222328186035,2.222222328186035,-40.0,8.964010238647461,9.04338264465332,9.015456199645996,8.834878921508789,8.294051170349121,10.070364952087402,8.581330299377441,8.157281875610352
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.10634423047304153,0.12298090755939484,0.10672955960035324,0.10217259079217911,0.022264547646045685,0.20582427084445953,0.1111111119389534,0.1111111119389534,0.0,0.0756867378950119,0.1913316547870636,0.06524478644132614,0.1131792664527893,0.0937226414680481,0.14069649577140808,0.0996340960264206,-0.005446270108222961,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,1.2000305652618408,3.7549309730529785,1.3168202638626099,2.925187826156616,1.2372665405273438,2.591188907623291,2.222222328186035,2.222222328186035,-40.0,8.994699478149414,9.076478004455566,8.99287223815918,8.768571853637695,8.041540145874023,10.632158279418945,8.520902633666992,7.492440700531006
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.10302279144525528,0.1274803876876831,0.1049843281507492,0.10374023765325546,0.002861341694369912,0.23390215635299683,0.1111111119389534,0.1111111119389534,0.0,0.06692379713058472,0.20813986659049988,0.05452979356050491,0.11961079388856888,0.08965818583965302,0.1407039910554886,0.09997928887605667,-0.0014286742080003023,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,1.0104180574417114,4.033750057220459,1.0184969902038574,3.205503463745117,0.8716083765029907,3.175941228866577,2.222222328186035,2.222222328186035,-40.0,9.027299880981445,9.094597816467285,8.969792366027832,8.708840370178223,7.852163314819336,10.969207763671875,8.495767593383789,7.042331218719482
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.10020606219768524,0.13087227940559387,0.10746659338474274,0.09722214937210083,-0.000119775089842733,0.2497585117816925,0.1111111119389534,0.1111111119389534,0.0,0.05770978704094887,0.2268747091293335,0.04381239414215088,0.12266387790441513,0.08639256656169891,0.14141631126403809,0.10005553066730499,-0.001440530875697732,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.9079248309135437,4.219555377960205,0.7510074973106384,3.468250274658203,0.7127363085746765,3.3623452186584473,2.222222328186035,2.222222328186035,-40.0,9.037130355834961,9.108957290649414,9.004356384277344,8.758325576782227,7.576149940490723,11.270023345947266,8.488699913024902,6.549646854400635
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.09758155792951584,0.1342190057039261,0.10640141367912292,0.09801644831895828,0.0007999390945769846,0.2502817213535309,0.1111111119389534,0.1111111119389534,0.0,0.035142891108989716,0.27365097403526306,0.019437506794929504,0.12363377213478088,0.0821019634604454,0.14728720486164093,0.10005553066730499,-0.001440530875697732,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.8040081858634949,4.418781757354736,0.6108570098876953,3.537656545639038,0.6849958300590515,3.380918502807617,2.222222328186035,2.222222328186035,-40.0,9.04453182220459,9.11951732635498,9.014731407165527,8.734655380249023,7.460804462432861,11.409857749938965,8.663559913635254,6.070011615753174
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.09626490622758865,0.13551265001296997,0.10637808591127396,0.09854341298341751,-6.1023973103147e-05,0.2521396577358246,0.1111111119389534,0.1111111119389534,0.0,0.01949821412563324,0.30569881200790405,0.0028343016747385263,0.12392573058605194,0.08123353868722916,0.14802829921245575,0.10005553066730499,-0.001440530875697732,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.7644702792167664,4.517376899719238,0.562039315700531,3.4730820655822754,0.6236019134521484,3.608790159225464,2.222222328186035,2.222222328186035,-40.0,9.05347728729248,9.117349624633789,9.002099990844727,8.772334098815918,7.304673194885254,11.619439125061035,8.793021202087402,5.628050327301025
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.09560895711183548,0.13608279824256897,0.10696545988321304,0.09842972457408905,-9.556219447404146e-05,0.2553050220012665,0.1111111119389534,0.1111111119389534,0.0,0.015304980799555779,0.312503457069397,0.00015486261690966785,0.1244564950466156,0.08008968830108643,0.1484464406967163,0.10005553066730499,-0.001440530875697732,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.7544882297515869,4.555998802185059,0.5344278216362,3.4296786785125732,0.5619284510612488,3.835134267807007,2.222222328186035,2.222222328186035,-40.0,9.056539535522461,9.10826587677002,8.983194351196289,8.865007400512695,7.0647993087768555,11.913668632507324,8.8131742477417,5.293834686279297
"[[[0. 0. 0. ... 0. 0. 0.]]

 [[0. 0. 0. ... 0. 0. 0.]]]",0.0,0.09454379975795746,0.13712996244430542,0.10701483488082886,0.09867244213819504,-0.0004382635816000402,0.2545827031135559,0.1111111119389534,0.1111111119389534,0.0,0.017854230478405952,0.30539393424987793,-0.0048223757185041904,0.12467705458402634,0.08268959820270538,0.1402323842048645,0.10210135579109192,0.006652959622442722,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.3333333432674408,0.3333333432674408,0.0,0.6961475610733032,4.663881778717041,0.4238649010658264,3.5010056495666504,0.40270495414733887,4.154420852661133,2.222222328186035,2.222222328186035,-40.0,9.057819366455078,9.09516716003418,8.953624725341797,8.96194839477539,6.842097282409668,12.205585479736328,8.711164474487305,5.14276123046875
