training,validation,test
0.08433733880519867,0.08679597824811935,0.07641826570034027
0.0742926150560379,0.07765065878629684,0.06916319578886032
0.07373400777578354,0.07656756788492203,0.06997807323932648
0.0731641948223114,0.07579328119754791,0.06930932402610779
0.07271924614906311,0.07543523609638214,0.06930176168680191
0.07234162092208862,0.07515834271907806,0.06940800696611404
0.07194522023200989,0.07487493753433228,0.0697636678814888
0.07158701866865158,0.0746447890996933,0.06967411190271378
0.07123254984617233,0.07437334209680557,0.06965845078229904
0.07086997479200363,0.07409524917602539,0.06958280503749847
0.07052494585514069,0.07383749634027481,0.0694551169872284
0.070208340883255,0.07357386499643326,0.06929925829172134
0.06991194933652878,0.07332184910774231,0.0691768079996109
0.06963403522968292,0.07308833301067352,0.06892221421003342
0.06936588883399963,0.07285550981760025,0.06874667853116989
0.0690978616476059,0.0726270079612732,0.06843727082014084
0.06847787648439407,0.07212185114622116,0.06822735071182251
0.06815697252750397,0.07190621644258499,0.06821843981742859
0.06788893043994904,0.07176868617534637,0.06801007688045502
0.0676555186510086,0.07153485715389252,0.06793577969074249
0.0674077570438385,0.07134608179330826,0.06804404407739639
0.06716003268957138,0.07114986330270767,0.06776420772075653
0.06690498441457748,0.07096809148788452,0.06766819208860397
0.06661973148584366,0.07080453634262085,0.06760583072900772
0.06632568687200546,0.07062073051929474,0.06750892847776413
0.06603006273508072,0.07038989663124084,0.06735965609550476
0.06573367863893509,0.07012929022312164,0.06718598306179047
0.06541137397289276,0.0698603019118309,0.06724881380796432
0.06507700681686401,0.06953640282154083,0.06732771545648575
0.06473291665315628,0.06920792907476425,0.06651013344526291
0.06439022719860077,0.06885255128145218,0.06638766825199127
0.06403835862874985,0.06847893446683884,0.06631626933813095
0.0636812299489975,0.06808546185493469,0.06626954674720764
0.06330713629722595,0.06766519695520401,0.06622762978076935
0.06292036175727844,0.06719555705785751,0.06626755744218826
0.06252150982618332,0.06670065224170685,0.06645309925079346
0.06212146207690239,0.06621381640434265,0.06647797673940659
0.06173957139253616,0.06585778295993805,0.06665859371423721
0.061372172087430954,0.06552356481552124,0.06674022227525711
0.06102452799677849,0.06518778204917908,0.06697537750005722
0.06067843362689018,0.0650114119052887,0.06719479709863663
0.06040215119719505,0.06477271765470505,0.0672503411769867
0.06020122393965721,0.06455617398023605,0.0674738958477974
0.060070835053920746,0.06431608647108078,0.06773737072944641
0.06000564247369766,0.0641375333070755,0.06787288188934326
0.05998635292053223,0.06413876265287399,0.06801433116197586
0.05997326597571373,0.06413482129573822,0.06804810464382172
0.059954263269901276,0.06412426382303238,0.06791912019252777
0.05991353467106819,0.06414035707712173,0.06749726086854935
0.05976239591836929,0.06410150229930878,0.0657120868563652
0.05960634723305702,0.06413815915584564,0.06590025871992111
0.05957113206386566,0.06404129415750504,0.06609304994344711
0.05955398827791214,0.064060278236866,0.066464364528656
0.05954066663980484,0.06409541517496109,0.06666836142539978
0.05953318625688553,0.06410553306341171,0.06682831794023514
0.05952640622854233,0.06414173543453217,0.06694675236940384
0.05952131748199463,0.06415282934904099,0.06697463989257812
0.05951019003987312,0.06415896862745285,0.0669822171330452
0.059502359479665756,0.06418439000844955,0.06692466884851456
0.05949362739920616,0.06410326808691025,0.06698478758335114
0.05939095467329025,0.06410323083400726,0.06628715991973877
0.05913928151130676,0.06379719823598862,0.06555088609457016
0.05900362506508827,0.06395654380321503,0.06555695086717606
0.05883929505944252,0.06367674469947815,0.06494198739528656
0.05877174809575081,0.0635775625705719,0.06425171345472336
0.058756206184625626,0.06352159380912781,0.06468706578016281
0.05874830484390259,0.0635460764169693,0.06528136879205704
0.05873939022421837,0.06355348974466324,0.06541342288255692
0.058719757944345474,0.0635492354631424,0.06548894941806793
0.05870251730084419,0.0635204166173935,0.06563880294561386
0.05850229784846306,0.06337672472000122,0.06439134478569031
0.05832688510417938,0.06309642642736435,0.06411843746900558
0.05829721689224243,0.06303879618644714,0.06429600715637207
0.058030903339385986,0.06203204393386841,0.06403230875730515
0.05795370414853096,0.06186491250991821,0.0642082467675209
0.057931240648031235,0.061825625598430634,0.06441335380077362
0.05792418494820595,0.06179507076740265,0.06441996991634369
0.05791027098894119,0.06174924969673157,0.0644724890589714
0.05789138004183769,0.061835043132305145,0.06456616520881653
